,TITLE,YEAR,LINKS,RATING,DIRECTOR1,ACTOR_1,ACTOR_2
0,The Shawshank Redemption,1994,https://www.imdb.com//title/tt0111161/,9.2,Frank Darabont (dir.), Tim Robbins, Morgan Freeman
1,The Godfather,1972,https://www.imdb.com//title/tt0068646/,9.2,Francis Ford Coppola (dir.), Marlon Brando, Al Pacino
2,The Dark Knight,2008,https://www.imdb.com//title/tt0468569/,9.0,Christopher Nolan (dir.), Christian Bale, Heath Ledger
3,The Godfather Part II,1974,https://www.imdb.com//title/tt0071562/,9.0,Francis Ford Coppola (dir.), Al Pacino, Robert De Niro
4,12 Angry Men,1957,https://www.imdb.com//title/tt0050083/,8.9,Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb
5,Schindler's List,1993,https://www.imdb.com//title/tt0108052/,8.9,Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes
6,The Lord of the Rings: The Return of the King,2003,https://www.imdb.com//title/tt0167260/,8.9,Peter Jackson (dir.), Elijah Wood, Viggo Mortensen
7,Pulp Fiction,1994,https://www.imdb.com//title/tt0110912/,8.9,Quentin Tarantino (dir.), John Travolta, Uma Thurman
8,The Lord of the Rings: The Fellowship of the Ring,2001,https://www.imdb.com//title/tt0120737/,8.8,Peter Jackson (dir.), Elijah Wood, Ian McKellen
9,"Il buono, il brutto, il cattivo",1966,https://www.imdb.com//title/tt0060196/,8.8,Sergio Leone (dir.), Clint Eastwood, Eli Wallach
10,Forrest Gump,1994,https://www.imdb.com//title/tt0109830/,8.8,Robert Zemeckis (dir.), Tom Hanks, Robin Wright
11,Fight Club,1999,https://www.imdb.com//title/tt0137523/,8.7,David Fincher (dir.), Brad Pitt, Edward Norton
12,Inception,2010,https://www.imdb.com//title/tt1375666/,8.7,Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt
13,The Lord of the Rings: The Two Towers,2002,https://www.imdb.com//title/tt0167261/,8.7,Peter Jackson (dir.), Elijah Wood, Ian McKellen
14,The Empire Strikes Back,1980,https://www.imdb.com//title/tt0080684/,8.7,Irvin Kershner (dir.), Mark Hamill, Harrison Ford
15,The Matrix,1999,https://www.imdb.com//title/tt0133093/,8.7,Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne
16,Goodfellas,1990,https://www.imdb.com//title/tt0099685/,8.7,Martin Scorsese (dir.), Robert De Niro, Ray Liotta
